index,sepal_length,sepal_width,petal_length,petal_width,species,species_id
74,6.4,2.9,4.3,1.3,versicolor,2
116,6.5,3.0,5.5,1.8,virginica,3
93,5.0,2.3,3.3,1.0,versicolor,2
100,6.3,3.3,6.0,2.5,virginica,3
89,5.5,2.5,4.0,1.3,versicolor,2
10,5.4,3.7,1.5,0.2,setosa,1
34,4.9,3.1,1.5,0.1,setosa,1
32,5.2,4.1,1.5,0.1,setosa,1
124,6.7,3.3,5.7,2.1,virginica,3
38,4.4,3.0,1.3,0.2,setosa,1
83,6.0,2.7,5.1,1.6,versicolor,2
111,6.4,2.7,5.3,1.9,virginica,3
149,5.9,3.0,5.1,1.8,virginica,3
27,5.2,3.5,1.5,0.2,setosa,1
23,5.1,3.3,1.7,0.5,setosa,1
67,5.8,2.7,4.1,1.0,versicolor,2
9,4.9,3.1,1.5,0.1,setosa,1
130,7.4,2.8,6.1,1.9,virginica,3
97,6.2,2.9,4.3,1.3,versicolor,2
105,7.6,3.0,6.6,2.1,virginica,3
145,6.7,3.0,5.2,2.3,virginica,3
87,6.3,2.3,4.4,1.3,versicolor,2
148,6.2,3.4,5.4,2.3,virginica,3
109,7.2,3.6,6.1,2.5,virginica,3
64,5.6,2.9,3.6,1.3,versicolor,2
15,5.7,4.4,1.5,0.4,setosa,1
82,5.8,2.7,3.9,1.2,versicolor,2
41,4.5,2.3,1.3,0.3,setosa,1
80,5.5,2.4,3.8,1.1,versicolor,2
52,6.9,3.1,4.9,1.5,versicolor,2
26,5.0,3.4,1.6,0.4,setosa,1
76,6.8,2.8,4.8,1.4,versicolor,2
43,5.0,3.5,1.6,0.6,setosa,1
24,4.8,3.4,1.9,0.2,setosa,1
136,6.3,3.4,5.6,2.4,virginica,3
121,5.6,2.8,4.9,2.0,virginica,3
143,6.8,3.2,5.9,2.3,virginica,3
49,5.0,3.3,1.4,0.2,setosa,1
21,5.1,3.7,1.5,0.4,setosa,1
70,5.9,3.2,4.8,1.8,versicolor,2
3,4.6,3.1,1.5,0.2,setosa,1
142,5.8,2.7,5.1,1.9,virginica,3
30,4.8,3.1,1.6,0.2,setosa,1
147,6.5,3.0,5.2,2.0,virginica,3
106,4.9,2.5,4.5,1.7,virginica,3
47,4.6,3.2,1.4,0.2,setosa,1
115,6.4,3.2,5.3,2.3,virginica,3
13,4.3,3.0,1.1,0.1,setosa,1
88,5.6,3.0,4.1,1.3,versicolor,2
8,4.4,2.9,1.4,0.2,setosa,1
81,5.5,2.4,3.7,1.0,versicolor,2
60,5.0,2.0,3.5,1.0,versicolor,2
0,5.1,3.5,1.4,0.2,setosa,1
1,4.9,3.0,1.4,0.2,setosa,1
57,4.9,2.4,3.3,1.0,versicolor,2
22,4.6,3.6,1.0,0.2,setosa,1
61,5.9,3.0,4.2,1.5,versicolor,2
63,6.1,2.9,4.7,1.4,versicolor,2
7,5.0,3.4,1.5,0.2,setosa,1
86,6.7,3.1,4.7,1.5,versicolor,2
96,5.7,2.9,4.2,1.3,versicolor,2
68,6.2,2.2,4.5,1.5,versicolor,2
50,7.0,3.2,4.7,1.4,versicolor,2
101,5.8,2.7,5.1,1.9,virginica,3
20,5.4,3.4,1.7,0.2,setosa,1
25,5.0,3.0,1.6,0.2,setosa,1
134,6.1,2.6,5.6,1.4,virginica,3
71,6.1,2.8,4.0,1.3,versicolor,2
129,7.2,3.0,5.8,1.6,virginica,3
79,5.7,2.6,3.5,1.0,versicolor,2
133,6.3,2.8,5.1,1.5,virginica,3
137,6.4,3.1,5.5,1.8,virginica,3
72,6.3,2.5,4.9,1.5,versicolor,2
140,6.7,3.1,5.6,2.4,virginica,3
37,4.9,3.1,1.5,0.1,setosa,1
